9026
6504	 競技会	10
40425	$100	7
41315	$30	5
7900	%	173
16122	((	9
21427	(株)	7
4604	.S	31
15745	.com	50
4605	.jp	55
0	0	137
4606	00	505
4607	000	369
18292	007	5
10656	01	21
10657	02	25
10658	03	40
28622	030	5
7901	04	21
12206	045	7
35953	05	15
27310	06	20
19866	07	16
6505	08	24
9746	080	16
10659	09	33
38338	0m	9
18952	0円	9
16512	0分	77
6506	0時	26
18172	0歳	36
1	1	1512
28150	1.5km	13
20463	1.5倍	11
4608	10	706
40498	10 years	10
10660	10%	19
2	100	298
20346	100%	82
10661	1000	90
30718	10000	14
19867	10000円	18
10662	1000m	10
12207	1000人	16
3	1000円	405
17263	1000円札	7
25082	1000年	29
24028	1000点	5
36789	100cm	5
9561	100m	100
4	100万	15
18408	100万人	9
31422	100万円	6
5	100人	67
12208	100件	6
26067	100倍	12
6	100円	547
7902	100円ショップ	66
7	100円バス	23
12209	100円均一	15
25816	100円玉	18
19868	100円硬貨	7
26261	100分	18
9562	100周年	35
30853	100回	5
8	100均	56
9	100年	113
14010	100年前	17
10	100本	11
11818	100点	19
12210	100種	23
41060	101	7
38680	1030	5
34583	1030円	5
20703	104	7
4609	105	6
22384	1050円	12
17819	105円	6
4610	106	7
29139	108	7
12211	1080円	27
20220	109	29
28051	109シネマズ	7
11	10km	9
7903	10m	34
16389	10キロ	12
12	10パーセント	5
6507	10万	19
14011	10万人	7
29237	10両編成	5
7904	10人	95
13	10代	35
37368	10件	7
26262	10倍	17
7905	10円	32
7906	10円玉	5
14	10分	1408
17694	10分間	31
14012	10周年	27
10663	10回	48
12212	10基	6
6508	10年	209
7907	10年ぶり	75
10664	10年前	42
30788	10年後	6
34812	10年間	9
12213	10度	9
6509	10日	59
4611	10日間	7
15	10時	424
16	10月	479
12214	10月10日	11
15410	10月11日	5
12215	10月12日	10
27674	10月13日	5
30854	10月14日	9
24079	10月15日	6
34813	10月19日	6
9110	10月1日	34
24987	10月27日	9
30771	10月30日	8
16235	10月31日	9
26263	10月8日	5
20577	10月9日	11
27675	10月上旬	7
19869	10月下旬	7
10665	10月中旬	21
6510	10本	14
30495	10枚	20
10666	10歳	30
34314	10番	11
19870	10秒	8
39552	10種	5
14013	10種類	22
19424	10階	29
17	11	299
20221	110	15
26721	1100	7
4612	1100円	43
37476	1100年	6
19871	110cm	8
14014	110円	7
39419	110分	6
30046	110周年	6
36026	110年	7
18173	111	13
19425	117	5
27224	11AM	8
27270	11PM	5
25900	11世紀	6
30789	11人	6
31095	11代	8
28996	11号	6
14015	11年	18
25083	11日	18
18	11時	286
19	11月	548
29906	11月10日	9
9111	11月11日	8
34174	11月13日	11
37120	11月14日	5
36094	11月15日	5
17820	11月16日	8
34175	11月17日	6
14016	11月18日	7
34176	11月19日	10
28363	11月1日	9
9112	11月20日	9
4613	11月21日	10
7908	11月22日	14
14017	11月23日	24
9113	11月24日	11
12216	11月25日	10
36355	11月27日	10
22038	11月28日	6
4614	11月29日	9
36579	11月2日	6
24830	11月30日	21
16236	11月3日	22
14018	11月5日	7
34177	11月8日	7
9114	11月上旬	15
9115	11月下旬	59
9116	11月中旬	51
36132	11枚	6
18409	11歳	7
34410	11番	8
30264	11種	5
38056	11階	14
20	12	333
28472	120	32
4615	1200	25
10187	12000	6
36790	12000円	5
25585	1200m	7
21	1200円	101
29557	1200年	12
20222	120cm	14
24730	120円	9
21235	120分	19
25225	120周年	6
36559	120年	7
35593	125	5
20464	1250円	8
35502	1271年	5
24180	12人	5
12135	12分	48
11819	12回	7
25555	12年	27
22011	12日	20
22	12時	193
26615	12時間	6
23	12月	556
4616	12月10日	6
35318	12月12日	8
4617	12月13日	8
28695	12月14日	11
28997	12月16日	9
36644	12月17日	8
38418	12月19日	6
36307	12月1日	13
14019	12月20日	6
24	12月22日	7
22229	12月23日	20
25	12月24日	8
10667	12月25日	16
38302	12月26日	5
38339	12月27日	7
30855	12月29日	14
28893	12月2日	6
36980	12月30日	10
17110	12月31日	15
34886	12月3日	8
30453	12月4日	6
4618	12月6日	11
29080	12月7日	5
21363	12月8日	5
29609	12月9日	13
4619	12月上旬	36
10668	12月下旬	10
26	12月中旬	25
31050	12枚	7
26044	12歳	11
25185	12番	10
18410	12種	12
38327	12階	14
7909	13	174
7910	13.	5
12217	130	18
26648	1300	16
4620	1300円	60
24879	1300年	12
34178	130円	17
27495	130分	6
36754	130年	6
12136	134	25
25943	135	8
28114	1350円	8
41628	1394	5
24659	13世紀	11
20602	13分	25
14020	13年	19
25586	13日	22
27	13時	140
25639	13歳	7
36949	13番	11
31203	13階	8
28	14	177
21824	140	13
10669	1400	5
21908	1400円	40
25230	1400年	11
10670	140円	13
27496	140分	7
24688	140年	10
4621	1457年	6
21112	14世紀	7
20704	14号	5
10671	14年	14
17345	14日	28
6511	14時	120
10672	14歳	7
24880	14番	6
4622	15	333
4623	150	59
17346	1500	27
19872	15000	5
24479	15000円	5
34628	1500m	6
37883	1500人	5
29	1500円	164
34303	1500年	5
30856	150m	10
26712	150人	5
7911	150円	86
27497	150分	9
16123	150周年	18
20347	150年	39
41829	1573	5
36545	1590	8
30496	1590年	13
41503	1593年	6
36724	1596年	6
24125	1597年	5
41496	1598年	5
16627	15km	7
21481	15m	16
7912	15世紀	9
28473	15人	22
30497	15代	11
30	15分	952
20223	15分間	15
14021	15周年	13
20348	15回	8
6512	15年	77
31	15年ぶり	26
30004	15年前	12
14022	15日	48
6513	15時	187
11913	15歳	12
20465	15番	8
39256	15秒	5
4624	16	249
20935	160	6
20466	1600	14
10673	1600円	51
31082	1600年	10
37612	1600年代	6
25976	1601年	5
38445	1603年	6
38545	1606年	5
9747	160円	13
29653	1611	5
29654	1611年	5
38057	1615	7
12218	1620円	5
25939	1620年	5
35677	1624	7
39479	1624年	8
37448	1627年	6
33957	1630	9
39232	1630年	5
41589	1631年	5
41642	1635年	6
35656	1636年	7
41577	1639年	5
37615	1641年	5
30498	1648	5
35671	1648年	6
41254	1653年	5
41534	1654年	5
41774	1657	6
29878	1657年	12
41656	1661	6
25808	16世紀	18
27498	16分	9
16943	16号	18
14754	16年	19
