jiscode,name,namekana,building,zipcode,address,tel,source,lat,lon,note
1000,北海道,ほっかいどう,北海道庁,060-8588,札幌市中央区北3条西6-1,011-231-4111,数値地図,43.064278,141.346785,
1100,札幌市,さっぽろし,札幌市役所,060-8611,札幌市中央区北1条西2丁目,011-211-2111,数値地図,43.061945,141.354395,
1101,札幌市中央区,さっぽろしちゅうおうく,中央区役所,060-8612,札幌市中央区南3条西11丁目,011-231-2400,数値地図,43.05539,141.34098,
1102,札幌市北区,さっぽろしきたく,北区役所,001-8612,札幌市北区北24条西6丁目1-1,011-757-2400,数値地図,43.090691,141.340922,
1103,札幌市東区,さっぽろしひがしく,東区役所,065-8612,札幌市東区北11条東7丁目1-1,011-741-2400,数値地図,43.076111,141.363616,
1104,札幌市白石区,さっぽろししろいしく,白石区役所,003-8612,札幌市白石区南郷通1丁目南8-1,011-861-2400,Google Maps,43.045445,141.396378,新庁舎
1105,札幌市豊平区,さっぽろしとよひらく,豊平区役所,062-8612,札幌市豊平区平岸6条10丁目1-1,011-822-2400,数値地図,43.031366,141.379978,
1106,札幌市南区,さっぽろしみなみく,南区役所,005-8612,札幌市南区真駒内幸町2丁目2-1,011-582-2400,数値地図,42.989953,141.353372,
1107,札幌市西区,さっぽろしにしく,西区役所,063-8612,札幌市西区琴似2条7丁目1-1,011-641-2400,数値地図,43.074358,141.300899,
1108,札幌市厚別区,さっぽろしあつべつく,厚別区役所,004-8612,札幌市厚別区厚別中央1条5丁目3-2,011-895-2400,数値地図,43.036146,141.474747,
1109,札幌市手稲区,さっぽろしていねく,手稲区役所,006-8612,札幌市手稲区前田1条11丁目1-10,011-681-2400,数値地図,43.121851,141.245651,
1110,札幌市清田区,さっぽろしきよたく,清田区役所,004-8613,札幌市清田区平岡1条1丁目2-1,011-889-2400,数値地図,42.999538,141.443891,
1202,函館市,はこだてし,函館市役所,040-8666,函館市東雲町4-13,0138-21-3111,数値地図,41.768679,140.729127,
1203,小樽市,おたるし,小樽市役所,047-8660,小樽市花園2-12-1,0134-32-4111,数値地図,43.190808,140.994309,
1204,旭川市,あさひかわし,旭川市役所,070-8525,旭川市6条通9丁目,0166-26-1111,数値地図,43.770846,142.364852,
1205,室蘭市,むろらんし,室蘭市役所,051-8511,室蘭市幸町1-2,0143-22-1111,数値地図,42.315208,140.973632,
1206,釧路市,くしろし,釧路市役所,085-8505,釧路市黒金町7-5,0154-23-5151,数値地図,42.984834,144.381688,
1207,帯広市,おびひろし,帯広市役所,080-8670,帯広市西5条南7-1,0155-24-4111,数値地図,42.923691,143.196577,
1208,北見市,きたみし,北見市役所,090-8509,北見市大通西2丁目1番地 まちきた大通ビル,0157-23-7111,Google Maps,43.803993,143.895729,仮設庁舎
1209,夕張市,ゆうばりし,夕張市役所,068-0492,夕張市本町4-2,0123-52-3131,数値地図,43.056825,141.973979,
1210,岩見沢市,いわみざわし,岩見沢市役所,068-8686,岩見沢市鳩が丘1-1-1,0126-23-4111,数値地図,43.196194,141.775852,
1211,網走市,あばしりし,網走市役所,093-8555,網走市南6条東4丁目,0152-44-6111,数値地図,44.020626,144.273489,
1212,留萌市,るもいし,留萌市役所,077-8601,留萌市幸町1-11,0164-42-1801,数値地図,43.940969,141.63685,
1213,苫小牧市,とまこまいし,苫小牧市役所,053-8722,苫小牧市旭町4-5-6,0144-32-6111,数値地図,42.634085,141.60551,
1214,稚内市,わっかないし,稚内市役所,097-8686,稚内市中央3-13-15,0162-23-6161,数値地図,45.415553,141.673146,
1215,美唄市,びばいし,美唄市役所,072-8660,美唄市西3条南1-1-1,0126-62-3131,数値地図,43.332986,141.854003,
1216,芦別市,あしべつし,芦別市役所,075-8711,芦別市北1条東1-3,0124-22-2111,数値地図,43.518199,142.189544,
1217,江別市,えべつし,江別市役所,067-8674,江別市高砂町6,011-382-4141,数値地図,43.103613,141.535988,
1218,赤平市,あかびらし,赤平市役所,079-1192,赤平市泉町4-1,0125-32-2211,数値地図,43.557968,142.044169,
1219,紋別市,もんべつし,紋別市役所,094-8707,紋別市幸町2-1-18,0158-24-2111,数値地図,44.356484,143.354067,
1220,士別市,しべつし,士別市役所,095-8686,士別市東6条4-1,0165-23-3121,数値地図,44.178664,142.400461,
1221,名寄市,なよろし,名寄市役所,096-8686,名寄市大通南1-1,01654-3-2111,数値地図,44.35584,142.463195,
1222,三笠市,みかさし,三笠市役所,068-2192,三笠市幸町2,01267-2-3181,数値地図,43.245802,141.875619,
1223,根室市,ねむろし,根室市役所,087-8711,根室市常盤町2-27,0153-23-6111,数値地図,43.329998,145.582953,
1224,千歳市,ちとせし,千歳市役所,066-8686,千歳市東雲町2-34,0123-24-3131,数値地図,42.82151,141.651075,
1225,滝川市,たきかわし,滝川市役所,073-8686,滝川市大町1-2-15,0125-23-1234,数値地図,43.557741,141.910458,
1226,砂川市,すながわし,砂川市役所,073-0195,砂川市西6条北3-1-1,0125-54-2121,数値地図,43.494748,141.903492,
1227,歌志内市,うたしないし,歌志内市役所,073-0492,歌志内市字本町5,0125-42-3212,数値地図,43.52161,142.035285,
1228,深川市,ふかがわし,深川市役所,074-8650,深川市2条17-17,0164-26-2228,数値地図,43.723257,142.053576,
1229,富良野市,ふらのし,富良野市役所,076-8555,富良野市弥生町1-1,0167-39-2300,数値地図,43.341919,142.383205,
1230,登別市,のぼりべつし,登別市役所,059-8701,登別市中央町6-11,0143-85-2111,数値地図,42.412732,141.106562,
1231,恵庭市,えにわし,恵庭市役所,061-1498,恵庭市京町1,0123-33-3131,数値地図,42.882472,141.577912,
1233,伊達市,だてし,伊達市役所,052-0024,伊達市鹿島町20-1,0142-23-3331,数値地図,42.471915,140.864745,
1234,北広島市,きたひろしまし,北広島市役所,061-1192,北広島市中央4-2-1,011-372-3311,数値地図,42.986821,141.563659,
1235,石狩市,いしかりし,石狩市役所,061-3292,石狩市花川北6条1-30-2,0133-72-3111,数値地図,43.171348,141.31542,
